Nº,Tela,Módulo,Finalidade,Recursos presentes,Arquivo da imagem
1,Login,Acesso,Autenticação de usuários,"Formulário de e-mail/senha, Botão Google",01-login.png
2,Dashboard Principal,Core,Visão geral da operação e KPIs,"Cards de indicadores, Agenda de hoje, Atalhos rápidos",01-dashboard-principal.png
3,Prospecção,Core,Busca de novos leads,"Barra de pesquisa, filtros",02-prospeccao.png
4,Pipeline CRM,Core,Gestão do funil de vendas,Kanban board,03-pipeline-crm.png
5,Decisores,Cadastros,Lista de contatos,Tabela de decisores,04-decisores.png
6,Empresas,Cadastros,Lista de empresas,Tabela de empresas,05-empresas.png
7,Agenda,Core,Visualização de atividades do dia,Lista de compromissos,06-agenda.png
8,Analytics,Relatórios,Gráficos detalhados da operação,Gráficos interativos,07-analytics.png
9,Calendário,Core,Visão mensal de atividades,Visualização em calendário,08-calendario.png
10,Notificações,Configurações,Central de avisos,Lista de notificações,09-notificacoes.png
11,Dojo de Vendas,Inteligência,Treinamento simulado com voz,"Microfone, IA de conversação",10-dojo-vendas.png
12,Hub de IA,Inteligência,Acesso a ferramentas de IA,"Painel de ferramentas, chat",11-hub-ia.png
13,Academy,Inteligência,Área de treinamento,Lista de tópicos,12-academy.png
14,Bitrix24,Integrações,Gestão da integração com Bitrix,Guias de integração,13-bitrix24.png
15,Relatórios IA,Relatórios,Geração de resumos com IA,Botões de geração de relatório,14-relatorios-ia.png
16,Base de Conhecimento,Configurações,Documentação interna e FAQs,Lista de documentos,15-base-conhecimento.png
17,Editor de Documentos,Core,Criação de propostas e textos,Editor de texto rico,16-editor.png
18,Automações,Configurações,Criação de regras de automação,Lista de gatilhos,17-automacoes.png
19,Consumo de IA,Relatórios,Acompanhamento de uso de tokens,Indicadores de consumo,18-consumo.png
